date,state,total_enrolments,age_0_5,age_5_17,age_18_greater,num_districts,total_bio_updates,bio_age_5_17,bio_age_17_,total_demo_updates,demo_age_5_17,demo_age_17_,total_updates
2025-03-09,Haryana,200.0,98.0,79.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-09,Karnataka,248.0,63.0,80.0,105.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-09,Madhya Pradesh,242.0,132.0,74.0,36.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-09,Maharashtra,100.0,42.0,46.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-09,Punjab,49.0,14.0,15.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-09,Rajasthan,94.0,41.0,36.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-09,Uttar Pradesh,1113.0,274.0,731.0,108.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-09,West Bengal,121.0,45.0,30.0,46.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-15,Assam,455.0,102.0,97.0,256.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-15,Bihar,448.0,69.0,292.0,87.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-15,Delhi,136.0,59.0,49.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-15,Maharashtra,68.0,17.0,14.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-15,Meghalaya,331.0,126.0,27.0,178.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-15,Uttar Pradesh,1604.0,320.0,1067.0,217.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-15,Uttarakhand,60.0,17.0,15.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-20,Andhra Pradesh,116.0,43.0,44.0,29.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-20,Assam,2037.0,485.0,1008.0,544.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-20,Bihar,247.0,63.0,119.0,65.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-20,Gujarat,612.0,402.0,126.0,84.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-20,Karnataka,484.0,246.0,112.0,126.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-20,Madhya Pradesh,116.0,73.0,25.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-20,Maharashtra,237.0,153.0,51.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-20,Meghalaya,401.0,75.0,29.0,297.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-20,Punjab,131.0,104.0,13.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-20,Tamil Nadu,34.0,12.0,12.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-20,Uttar Pradesh,1552.0,466.0,933.0,153.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-20,Uttarakhand,251.0,169.0,61.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-23,Bihar,85.0,34.0,41.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-23,Madhya Pradesh,47.0,10.0,21.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-23,Meghalaya,240.0,54.0,57.0,129.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-23,Uttar Pradesh,204.0,40.0,140.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-26,Meghalaya,211.0,168.0,26.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-27,Bihar,567.0,144.0,307.0,116.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-27,Chhattisgarh,260.0,115.0,46.0,99.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-27,Gujarat,710.0,284.0,228.0,198.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-27,Jharkhand,55.0,12.0,25.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-27,Madhya Pradesh,137.0,71.0,41.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-27,Maharashtra,55.0,20.0,19.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-27,Uttar Pradesh,920.0,293.0,455.0,172.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-28,Meghalaya,191.0,43.0,58.0,90.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-29,Meghalaya,67.0,30.0,11.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-01,Andaman And Nicobar Islands,0.0,0.0,0.0,0.0,0.0,2744.0,1630.0,1114.0,0.0,0.0,0.0,2744.0
2025-04-01,Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,608589.0,453882.0,154707.0,48881.0,6699.0,42182.0,657470.0
2025-04-01,Arunachal Pradesh,0.0,0.0,0.0,0.0,0.0,8375.0,4258.0,4117.0,0.0,0.0,0.0,8375.0
2025-04-01,Assam,25654.0,11931.0,9203.0,4520.0,168.0,139659.0,105295.0,34364.0,4355.0,348.0,4007.0,144014.0
2025-04-01,Bihar,29442.0,12551.0,15361.0,1530.0,64.0,795719.0,419994.0,375725.0,15300.0,2204.0,13096.0,811019.0
2025-04-01,Chandigarh,117.0,86.0,21.0,10.0,1.0,7921.0,4587.0,3334.0,14885.0,3917.0,10968.0,22806.0
2025-04-01,Chhattisgarh,1745.0,1299.0,254.0,192.0,5.0,287729.0,48023.0,239706.0,64554.0,6249.0,58305.0,352283.0
2025-04-01,Dadra And Nagar Haveli And Daman And Diu,0.0,0.0,0.0,0.0,0.0,4873.0,2223.0,2650.0,1122.0,156.0,966.0,5995.0
2025-04-01,Delhi,5930.0,4078.0,1495.0,357.0,14.0,273966.0,122032.0,151934.0,312751.0,45578.0,267173.0,586717.0
2025-04-01,Goa,0.0,0.0,0.0,0.0,0.0,9312.0,4793.0,4519.0,0.0,0.0,0.0,9312.0
2025-04-01,Gujarat,27846.0,17603.0,6024.0,4219.0,140.0,374310.0,163791.0,210519.0,72610.0,7381.0,65229.0,446920.0
2025-04-01,Haryana,2328.0,1785.0,482.0,61.0,4.0,216642.0,89177.0,127465.0,126593.0,18749.0,107844.0,343235.0
2025-04-01,Himachal Pradesh,0.0,0.0,0.0,0.0,0.0,52041.0,22612.0,29429.0,1858.0,324.0,1534.0,53899.0
2025-04-01,Jammu And Kashmir,211.0,142.0,59.0,10.0,1.0,89932.0,36268.0,53664.0,47713.0,7915.0,39798.0,137645.0
2025-04-01,Jharkhand,3706.0,2026.0,1496.0,184.0,12.0,378962.0,185766.0,193196.0,6126.0,606.0,5520.0,385088.0
2025-04-01,Karnataka,9586.0,7326.0,1165.0,1095.0,38.0,300403.0,136997.0,163406.0,67238.0,10519.0,56719.0,367641.0
2025-04-01,Kerala,0.0,0.0,0.0,0.0,0.0,180318.0,78509.0,101809.0,0.0,0.0,0.0,180318.0
2025-04-01,Ladakh,0.0,0.0,0.0,0.0,0.0,1003.0,438.0,565.0,0.0,0.0,0.0,1003.0
2025-04-01,Lakshadweep,0.0,0.0,0.0,0.0,0.0,706.0,386.0,320.0,0.0,0.0,0.0,706.0
2025-04-01,Madhya Pradesh,17351.0,12077.0,4146.0,1128.0,61.0,834670.0,501173.0,333497.0,181014.0,29556.0,151458.0,1015684.0
2025-04-01,Maharashtra,10591.0,7986.0,1901.0,704.0,39.0,846049.0,282523.0,563526.0,62436.0,6110.0,56326.0,908485.0
2025-04-01,Manipur,632.0,130.0,476.0,26.0,1.0,16868.0,8147.0,8721.0,0.0,0.0,0.0,16868.0
2025-04-01,Meghalaya,30512.0,7172.0,16999.0,6341.0,60.0,11865.0,4646.0,7219.0,0.0,0.0,0.0,11865.0
2025-04-01,Mizoram,368.0,275.0,76.0,17.0,1.0,24235.0,17652.0,6583.0,2110.0,328.0,1782.0,26345.0
2025-04-01,Nagaland,3506.0,1186.0,2082.0,238.0,11.0,14868.0,3641.0,11227.0,0.0,0.0,0.0,14868.0
2025-04-01,Odisha,276.0,182.0,82.0,12.0,1.0,297648.0,132410.0,165238.0,0.0,0.0,0.0,297648.0
